Asset,Name,Ticker,Date,Open,High,Low,Close,Volume
GOLD,Gold Futures (GC=F),GC=F,2025-05-09,3299.0,3335.5,3299.0,3335.3999,216
GOLD,Gold Futures (GC=F),GC=F,2025-05-12,3300.7,3300.7,3205.0,3220.0,886
GOLD,Gold Futures (GC=F),GC=F,2025-05-13,3232.0,3251.3999,3223.5,3240.3,2424
GOLD,Gold Futures (GC=F),GC=F,2025-05-14,3233.0,3233.0,3171.7,3181.3999,3518
GOLD,Gold Futures (GC=F),GC=F,2025-05-15,3151.0,3228.1001,3125.0,3220.7,652
GOLD,Gold Futures (GC=F),GC=F,2025-05-16,3227.7,3228.1001,3173.8999,3182.0,199
GOLD,Gold Futures (GC=F),GC=F,2025-05-19,3234.3999,3241.0,3228.3,3228.8999,266
GOLD,Gold Futures (GC=F),GC=F,2025-05-20,3219.0,3293.2,3207.5,3280.3,356
GOLD,Gold Futures (GC=F),GC=F,2025-05-21,3293.3999,3317.5,3290.2,3309.3,979
GOLD,Gold Futures (GC=F),GC=F,2025-05-22,3327.3,3328.0,3282.7,3292.3,1210
GOLD,Gold Futures (GC=F),GC=F,2025-05-23,3328.0,3363.6001,3323.5,3363.6001,47
GOLD,Gold Futures (GC=F),GC=F,2025-05-27,3332.5,3341.0,3296.3,3299.1001,189
GOLD,Gold Futures (GC=F),GC=F,2025-05-28,3293.6001,3293.6001,3293.6001,3293.6001,127758
GOLD,Gold Futures (GC=F),GC=F,2025-05-29,3283.7,3328.8,3242.3999,3317.1001,24370
GOLD,Gold Futures (GC=F),GC=F,2025-05-30,3315.1001,3318.0,3270.8999,3288.8999,2213
GOLD,Gold Futures (GC=F),GC=F,2025-06-02,3296.8999,3380.8,3296.8999,3370.6001,976
GOLD,Gold Futures (GC=F),GC=F,2025-06-03,3385.1001,3390.0,3331.3,3350.2,6410
GOLD,Gold Futures (GC=F),GC=F,2025-06-04,3355.0,3380.0,3344.0,3373.5,207
GOLD,Gold Futures (GC=F),GC=F,2025-06-05,3371.5,3400.0,3343.7,3350.7,731
GOLD,Gold Futures (GC=F),GC=F,2025-06-06,3364.3,3364.3,3306.0,3322.7,81
GOLD,Gold Futures (GC=F),GC=F,2025-06-09,3315.6001,3334.6001,3290.0,3332.1001,1887
